Link_ID,Time,Current_Moving_Average_throughput,Predicted_Moving_Average_throughput
8,232091000.3,0.251829946,0.2469401
8,232101000.1,0.251824852,0.2469225
8,232106002.9,0.25185141,0.24703492
8,232111004.0,0.251889514,0.24718939
8,232111005.6,0.251916913,0.24728958
8,232126000.3,0.251904155,0.2472875
8,232126001.3,0.251907463,0.2472996
8,232126002.4,0.251911115,0.24731302
8,232151000.1,0.251890226,0.24722965
8,232161000.2,0.251886337,0.24715737
8,232161000.3,0.251893126,0.24718226
8,232166000.3,0.251891147,0.2469948
8,232166001.3,0.251895177,0.2470096
8,232166002.4,0.251898966,0.24702358
8,232206002.4,0.251881895,0.24703425
8,232211000.1,0.251881401,0.24704733
8,232211004.0,0.251922359,0.24715969
8,232211005.3,0.251937172,0.24721394
8,232211006.4,0.251940513,0.24722621
8,232211007.4,0.251943853,0.24723844
8,232211008.4,0.25194716,0.24725057
8,232221000.2,0.25194407,0.24723801
8,232221000.3,0.251950616,0.247262
8,232246000.3,0.251927111,0.24725027
8,232246001.3,0.251930383,0.24726227
8,232246002.4,0.251934171,0.2472762
8,232271000.1,0.251911121,0.24699917
8,232281000.1,0.25190496,0.24696696
8,232281000.3,0.251913467,0.24699827
8,232286000.3,0.251911523,0.24700604
8,232286001.3,0.251915551,0.2470209
8,232286002.4,0.251918787,0.24703276
8,232306002.7,0.251926473,0.24709128
8,232311004.0,0.251964371,0.2472451
8,232311005.5,0.25198875,0.24733432
8,232326000.3,0.251975723,0.24732009
8,232326001.3,0.251979235,0.24733298
8,232326002.4,0.25198278,0.247346
8,232331000.2,0.251983833,0.2473518
8,232331000.3,0.25198886,0.24737023
8,232341000.1,0.251983421,0.24732715
8,232366000.3,0.251959581,0.24704708
8,232366001.3,0.251963126,0.24706016
8,232366002.4,0.251966774,0.24707355
8,232391000.2,0.251946762,0.24699964
8,232391000.3,0.251953543,0.2470245
8,232401000.1,0.251948485,0.24703577
8,232406001.0,0.25195432,0.24707218
8,232406003.4,0.251982579,0.24717595
8,232411002.2,0.252000944,0.24725825
8,232411003.2,0.252004385,0.24727088
8,232411004.3,0.252007895,0.24728377
8,232411005.3,0.252011233,0.24729602
8,232446000.3,0.251976665,0.24720645
8,232446001.3,0.251979934,0.24721843
8,232446002.4,0.251983822,0.24723278
8,232451000.1,0.251983601,0.24724683
8,232451000.2,0.251989004,0.24725075
8,232461000.2,0.251986354,0.24716194
8,232486000.3,0.251962699,0.24705578
8,232486001.3,0.251966138,0.24706845
8,232486002.4,0.251969647,0.24708128
8,232506003.3,0.251983378,0.24713315
8,232511000.1,0.251984087,0.2471507
8,232511003.6,0.252017974,0.2472526
8,232511004.8,0.252028088,0.24728967
8,232521000.2,0.252024755,0.2473072
8,232521000.3,0.252030363,0.24732777
8,232526000.3,0.252029003,0.24733764
8,232526001.4,0.252032442,0.24735026
8,232526002.4,0.252036294,0.2473643
8,232561000.1,0.252002769,0.24721955
8,232566000.3,0.252000963,0.24708964
8,232566001.3,0.252004195,0.2471015
8,232566002.4,0.25200784,0.24711494
8,232591000.2,0.2519876,0.2470476
8,232591000.4,0.251996543,0.24708053
8,232606003.5,0.252017984,0.24720417
8,232611001.1,0.252024882,0.24723217
8,232611002.7,0.25204187,0.24729456
8,232611003.7,0.252045033,0.24730617
8,232611004.7,0.252048883,0.2473204
8,232611005.8,0.252052081,0.24733213
8,232621000.1,0.252046892,0.24731387
8,232641000.1,0.252029212,0.24730866
8,232646000.3,0.252027406,0.2472734
8,232646001.3,0.252030534,0.24728492
8,232646002.4,0.252033869,0.24729712
8,232651000.1,0.252033509,0.24731076
8,232681000.1,0.2520071,0.24707456
8,232686000.3,0.252005019,0.24708192
8,232686001.3,0.252008835,0.24709597
8,232686002.4,0.252012237,0.24710847
8,232691000.1,0.252011603,0.24711007
8,232701000.1,0.252005518,0.24708977
8,232706002.2,0.252024097,0.247159
8,232706003.6,0.252043897,0.24723181
8,232711004.0,0.252081556,0.24738501
8,232726000.2,0.252068441,0.24738148
8,232726001.3,0.25207174,0.24739364
8,232726002.3,0.252075107,0.24740592
8,232731000.1,0.252074506,0.24741863
8,232741000.1,0.252068626,0.24736786
8,232766000.2,0.252044645,0.24710147
8,232766001.3,0.252048116,0.24711432
8,232766002.3,0.252051517,0.24712688
8,232781000.2,0.252044866,0.24710676
8,232791000.2,0.252040843,0.24710819
8,232806002.9,0.252056387,0.24721019
8,232806004.1,0.252067313,0.2472504
8,232811000.2,0.252069636,0.24727392
8,232811003.9,0.252107465,0.24741277
8,232811005.0,0.252110797,0.24742503
8,232811006.0,0.252114301,0.24743783
8,232811007.1,0.252117736,0.24745041
8,232841000.1,0.252090654,0.24738657
8,232846000.3,0.252088779,0.24737585
8,232846001.3,0.252092145,0.24738815
